UE11	101	51	42
UE11	102	51	12
UE11	110	51	6
UE11	113	51	40
UE12	101	51	24
UE12	103	51	3
UE12	104	51	3
UE12	106	51	15
UE12	107	51	15
UE12	114	51	40
UE13	103	51	21
UE13	104	51	21
UE13	110	51	12
UE13	111	51	6
UE13	115	51	40
UE14	105	51	36
UE14	106	51	18
UE14	109	51	6
UE14	116	51	40
UE15	102	51	18
UE15	108	51	27
UE15	111	51	15
UE15	117	51	40
UE16	108	51	11
UE16	109	51	11
UE16	110	51	11
UE16	111	51	11
UE16	112	51	11
UE16	102	51	5
UE16	118	51	40
UE21	221	52	2
UE21	201	52	21
UE21	202	52	21
UE21	203	52	12
UE21	213	52	6
UE21	215	52	38
UE22	221	52	2
UE22	201	52	15
UE22	204	52	12
UE22	207	52	21
UE22	209	52	12
UE22	216	52	38
UE23	221	52	2
UE23	204	52	36
UE23	205	52	15
UE23	212	52	6
UE23	213	52	3
UE23	217	52	38
UE24	221	52	2
UE24	206	52	30
UE24	208	52	12
UE24	210	52	12
UE24	212	52	6
UE24	218	52	38
UE25	221	52	2
UE25	202	52	3
UE25	203	52	6
UE25	207	52	6
UE25	210	52	30
UE25	212	52	6
UE25	213	52	9
UE25	219	52	38
UE26	221	52	2
UE26	202	52	4
UE26	211	52	17
UE26	212	52	17
UE26	213	52	11
UE26	214	52	11
UE26	220	52	38
